survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_capped,family_size,is_alone
0,3,male,22.0,1,0,7.25,S,Third,man,True,Southampton,no,False,7.25,2,0
1,1,female,38.0,1,0,71.2833,C,First,woman,False,Cherbourg,yes,False,66.12809999999999,2,0
1,3,female,26.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True,7.925,1,1
1,1,female,35.0,1,0,53.1,S,First,woman,False,Southampton,yes,False,53.1,2,0
0,3,male,35.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,male,27.673299999999998,0,0,8.4583,Q,Third,man,True,Queenstown,no,True,8.4583,1,1
0,1,male,54.0,0,0,51.8625,S,First,man,True,Southampton,no,True,51.8625,1,1
0,3,male,2.0,3,1,21.075,S,Third,child,False,Southampton,no,False,21.075,5,0
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,Southampton,yes,False,11.1333,3,0
1,2,female,14.0,1,0,30.0708,C,Second,child,False,Cherbourg,yes,False,30.0708,2,0
1,3,female,4.0,1,1,16.7,S,Third,child,False,Southampton,yes,False,16.7,3,0
1,1,female,58.0,0,0,26.55,S,First,woman,False,Southampton,yes,True,26.55,1,1
0,3,male,20.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,male,39.0,1,5,31.275,S,Third,man,True,Southampton,no,False,31.275,7,0
0,3,female,14.0,0,0,7.8542,S,Third,child,False,Southampton,no,True,7.8542,1,1
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Southampton,yes,True,16.0,1,1
0,3,male,2.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False,29.125,6,0
1,2,male,27.673299999999998,0,0,13.0,S,Second,man,True,Southampton,yes,True,13.0,1,1
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Southampton,no,False,18.0,2,0
1,3,female,27.673299999999998,0,0,7.225,C,Third,woman,False,Cherbourg,yes,True,7.225,1,1
0,2,male,35.0,0,0,26.0,S,Second,man,True,Southampton,no,True,26.0,1,1
1,2,male,34.0,0,0,13.0,S,Second,man,True,Southampton,yes,True,13.0,1,1
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,Queenstown,yes,True,8.0292,1,1
1,1,male,28.0,0,0,35.5,S,First,man,True,Southampton,yes,True,35.5,1,1
0,3,female,8.0,3,1,21.075,S,Third,child,False,Southampton,no,False,21.075,5,0
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,Southampton,yes,False,31.3875,7,0
0,3,male,27.673299999999998,0,0,7.225,C,Third,man,True,Cherbourg,no,True,7.225,1,1
0,1,male,19.0,3,2,263.0,S,First,man,True,Southampton,no,False,66.12809999999999,6,0
1,3,female,27.673299999999998,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,7.8792,1,1
